pmid,autor,nombres_originales,n_filiaciones,filiacion_ids
26942026,Schiel A,"[""Schiel A""]",1,"[""aff_efd3a4cbff7bff74""]"
26942026,Trimarchi H,"[""Trimarchi H""]",1,"[""aff_59cff27019488d2a""]"
26942026,Zotta E,"[""Zotta E""]",1,"[""aff_179c57c338aa1280""]"
27015899,Andrews J,"[""Andrews José""]",1,"[""aff_cfd267c8fd822ba6""]"
27015899,Araoz A,"[""Aráoz Alicia""]",1,"[""aff_56fd823df65626ee""]"
27015899,Canzonieri R,"[""Canzonieri Romina""]",1,"[""aff_0fa2cdb133d14994""]"
27015899,Forrester M,"[""Forrester Mariano""]",1,"[""aff_cfd267c8fd822ba6""]"
27015899,Iriarte R,"[""Iriarte Romina""]",1,"[""aff_cfd267c8fd822ba6""]"
27015899,Lombi F,"[""Lombi Fernando""]",1,"[""aff_cfd267c8fd822ba6""]"
27015899,Muryan A,"[""Muryan Alexis""]",1,"[""aff_0fa2cdb133d14994""]"
27015899,Paulero M,"[""Paulero Matías""]",1,"[""aff_cfd267c8fd822ba6""]"
27015899,Politei J,"[""Politei Juan""]",1,"[""aff_a948fc8ec0153129""]"
27015899,Pomeranz V,"[""Pomeranz Vanesa""]",1,"[""aff_cfd267c8fd822ba6""]"
27015899,Rengel T,"[""Rengel Tatiana""]",1,"[""aff_cfd267c8fd822ba6""]"
27015899,Schiel A,"[""Schiel Amalia""]",1,"[""aff_0fa2cdb133d14994""]"
27015899,Stern A,"[""Stern Aníbal""]",1,"[""aff_0fa2cdb133d14994""]"
27015899,Trimarchi H,"[""Trimarchi Hernán""]",2,"[""aff_b8dd4f653d4b2d82"", ""aff_f8b1c72d2c26f0a3""]"
27015899,Young P,"[""Young Pablo""]",1,"[""aff_35b4b21674b69eea""]"
27015899,Zotta E,"[""Zotta Elsa""]",1,"[""aff_56fd823df65626ee""]"
27016670,Fernandez J,"[""Fernández Juan Manuel""]",1,"[""aff_02dcb411a26a5fd0""]"
27016670,Fullana J,"[""Fullana José María""]",1,"[""aff_ca6d73dfef232205""]"
27016670,Gaudric J,"[""Gaudric Julien""]",1,"[""aff_9dbb0d59bdf7c7d0""]"
27016670,Ghigo A,"[""Ghigo Arthur""]",1,"[""aff_a937da78351a84c0""]"
27016670,Khelifa I,"[""Khelifa Ismaïl""]",1,"[""aff_7cfdbeb18e480ee2""]"
27016670,Lagree P,"[""Lagrée Pierre-Yves""]",1,"[""aff_ca6d73dfef232205""]"
27016670,Politi M,"[""Politi María Teresa""]",1,"[""aff_7c4c03c3c032b3b8""]"
27016779,Aban C,"[""Abán Cyntia E""]",1,"[""aff_1c0d65d3200f6917""]"
27016779,Damiano A,"[""Damiano Alicia E""]",1,"[""aff_f3cb42547abaaf14""]"
27016779,Farina M,"[""Farina Mariana G""]",1,"[""aff_1c0d65d3200f6917""]"
27016779,Leguizamon G,"[""Leguizamón Gustavo F""]",1,"[""aff_0ff74788f5411c76""]"
27016779,Martinez N,"[""Martínez Nora""]",1,"[""aff_af27eae0050b46ad""]"
27130259,Ballarini F,"[""Ballarini Fabricio""]",1,"[""aff_faa68e8928ae31ad""]"
27130259,Lopes da Cunha P,"[""Lopes da Cunha Pamela""]",1,"[""aff_f04e5ef64ca0bd3c""]"
27130259,Martinez M,"[""Martinez María Cecilia""]",1,"[""aff_ef8e2ea5ad727311""]"
