source,target,autores,pmids,evidencia,weight,n_papers,n_autor_paper
aff_08e828390736715f,aff_cf056aad41458a89,"[""Bello E""]","[""39833563""]","[{""autor"": ""Bello E"", ""pmid"": ""39833563""}]",1,1,1
aff_091dc03894b4b08c,aff_a4ff206b0bd58fe9,"[""Merlo E""]","[""33519685""]","[{""autor"": ""Merlo E"", ""pmid"": ""33519685""}]",1,1,1
aff_09c035911b86ae00,aff_65c3d20eeeccbccc,"[""Vassallu F""]","[""41571758""]","[{""autor"": ""Vassallu F"", ""pmid"": ""41571758""}]",1,1,1
aff_0a5c427088f59e74,aff_99a69f3984adb769,"[""Damiano A""]","[""42123443""]","[{""autor"": ""Damiano A"", ""pmid"": ""42123443""}]",1,1,1
aff_0ab2c57121296919,aff_58be8a264a648e29,"[""Kasanetz F""]","[""37252991""]","[{""autor"": ""Kasanetz F"", ""pmid"": ""37252991""}]",1,1,1
aff_0c0d06b026218758,aff_33703390530c752c,"[""Arrizurieta E""]","[""34320266""]","[{""autor"": ""Arrizurieta E"", ""pmid"": ""34320266""}]",1,1,1
aff_0c0d06b026218758,aff_ea57fbba16f33c76,"[""Ibarra F""]","[""34320266""]","[{""autor"": ""Ibarra F"", ""pmid"": ""34320266""}]",1,1,1
aff_0d4a066729caa8ed,aff_ae0039804c85d993,"[""Namboodiri V""]","[""28947572""]","[{""autor"": ""Namboodiri V"", ""pmid"": ""28947572""}]",1,1,1
aff_0f678194300b4103,aff_b1a2e0b488e54984,"[""Escudero C""]","[""37466779""]","[{""autor"": ""Escudero C"", ""pmid"": ""37466779""}]",1,1,1
aff_11ed18e97e2fe311,aff_28f9dde996930b0b,"[""Medrano M""]","[""28710541""]","[{""autor"": ""Medrano M"", ""pmid"": ""28710541""}]",1,1,1
aff_140c136b97d0eb17,aff_8e776c6beae99658,"[""Giachini F""]","[""34267676"", ""35431989""]","[{""autor"": ""Giachini F"", ""pmid"": ""34267676""}, {""autor"": ""Giachini F"", ""pmid"": ""35431989""}]",1,2,2
aff_14bc7e9ad50a692c,aff_3d00a58bac42ad69,"[""Bordey A""]","[""25856239""]","[{""autor"": ""Bordey A"", ""pmid"": ""25856239""}]",1,1,1
aff_14f00333d118f1d3,aff_16c47262ce39acb1,"[""Damiano A""]","[""27488203""]","[{""autor"": ""Damiano A"", ""pmid"": ""27488203""}]",1,1,1
aff_14f00333d118f1d3,aff_385bd095785cb599,"[""Damiano A""]","[""34938200""]","[{""autor"": ""Damiano A"", ""pmid"": ""34938200""}]",1,1,1
aff_14f4c08569899194,aff_1c3b2e65cc5db0d1,"[""Evelson P""]","[""30732602""]","[{""autor"": ""Evelson P"", ""pmid"": ""30732602""}]",1,1,1
aff_152e8ad6e2c59f7d,aff_6d2dd8dcfaa28249,"[""Opazo M""]","[""37274341""]","[{""autor"": ""Opazo M"", ""pmid"": ""37274341""}]",1,1,1
aff_15be64a871c4ddaf,aff_891224f51168c3c9,"[""Karikari T""]","[""31630412""]","[{""autor"": ""Karikari T"", ""pmid"": ""31630412""}]",1,1,1
aff_15be64a871c4ddaf,aff_e2bb4fe4ec2a830f,"[""Karikari T""]","[""31630412""]","[{""autor"": ""Karikari T"", ""pmid"": ""31630412""}]",1,1,1
aff_1743cc8c7020d2af,aff_9fbfaf455eb379d0,"[""Morici J"", ""Weisstaub N""]","[""29717980""]","[{""autor"": ""Morici J"", ""pmid"": ""29717980""}, {""autor"": ""Weisstaub N"", ""pmid"": ""29717980""}]",2,1,2
aff_17d960832bed61b8,aff_3e518a1ad80af884,"[""Moratalla R"", ""Ruiz-DeDiego I"", ""Solis O""]","[""30895594""]","[{""autor"": ""Moratalla R"", ""pmid"": ""30895594""}, {""autor"": ""Ruiz-DeDiego I"", ""pmid"": ""30895594""}, {""autor"": ""Solis O"", ""pmid"": ""30895594""}]",3,1,3
aff_17d960832bed61b8,aff_9925f4777f1cdf64,"[""Keifman E""]","[""30895594""]","[{""autor"": ""Keifman E"", ""pmid"": ""30895594""}]",1,1,1
aff_17fd5602cf34c02a,aff_68a215d3a9d46b87,"[""Viola H""]","[""42086667""]","[{""autor"": ""Viola H"", ""pmid"": ""42086667""}]",1,1,1
aff_17fd5602cf34c02a,aff_846fef047571448d,"[""Viola H""]","[""42086667""]","[{""autor"": ""Viola H"", ""pmid"": ""42086667""}]",1,1,1
aff_1a12fec5ff3f588b,aff_385bd095785cb599,"[""Damiano A""]","[""31396108""]","[{""autor"": ""Damiano A"", ""pmid"": ""31396108""}]",1,1,1
aff_1ac9a29bb43f178e,aff_b272151555cf1e20,"[""Tomsic D""]","[""33240056""]","[{""autor"": ""Tomsic D"", ""pmid"": ""33240056""}]",1,1,1
aff_1aea4b70cd0f1de3,aff_acdea9dd918867dd,"[""Goldstein J""]","[""36227397""]","[{""autor"": ""Goldstein J"", ""pmid"": ""36227397""}]",1,1,1
aff_1b8e5f52e1fb48ea,aff_45b1ee5fc7a61b61,"[""Acurio J"", ""Escudero C""]","[""42601945""]","[{""autor"": ""Acurio J"", ""pmid"": ""42601945""}, {""autor"": ""Escudero C"", ""pmid"": ""42601945""}]",2,1,2
aff_1f01facd1ca0d1c5,aff_cb48feaf2ccd917a,"[""Zotta E""]","[""30204500""]","[{""autor"": ""Zotta E"", ""pmid"": ""30204500""}]",1,1,1
aff_1f0da6583f4def16,aff_2665c3c0f87d53ff,"[""Goitia B"", ""Rivero-Echeto M""]","[""26484945""]","[{""autor"": ""Goitia B"", ""pmid"": ""26484945""}, {""autor"": ""Rivero-Echeto M"", ""pmid"": ""26484945""}]",2,1,2
aff_1f61b7d1e8047012,aff_2ee24db3a253275f,"[""Di Pietro A"", ""Marcora M"", ""Pasquini J"", ""Pasquini L"", ""Wies Mancini V""]","[""34935149""]","[{""autor"": ""Di Pietro A"", ""pmid"": ""34935149""}, {""autor"": ""Marcora M"", ""pmid"": ""34935149""}, {""autor"": ""Pasquini J"", ""pmid"": ""34935149""}, {""autor"": ""Pasquini L"", ""pmid"": ""34935149""}, {""autor"": ""Wies Mancini V"", ""pmid"": ""34935149""}]",5,1,5
aff_209c5d4e00c323a6,aff_e16498f6455db704,"[""Soto G""]","[""34293244""]","[{""autor"": ""Soto G"", ""pmid"": ""34293244""}]",1,1,1
aff_20bf2e253658e8b1,aff_a762ee38f60277af,"[""Doyon J""]","[""36587288""]","[{""autor"": ""Doyon J"", ""pmid"": ""36587288""}]",1,1,1
aff_218bce40e9121f2c,aff_37f5451bedadbaf9,"[""Nasimbera A"", ""Seoane P""]","[""33692740""]","[{""autor"": ""Nasimbera A"", ""pmid"": ""33692740""}, {""autor"": ""Seoane P"", ""pmid"": ""33692740""}]",2,1,2
aff_22520c387a4f4e3b,aff_e81b046ac1ffcf76,"[""Lino-de-Oliveira C""]","[""32319840""]","[{""autor"": ""Lino-de-Oliveira C"", ""pmid"": ""32319840""}]",1,1,1
aff_23313e0c19d215c7,aff_a04f49a3af8b2d02,"[""Araya J"", ""Mennickent D""]","[""37274341""]","[{""autor"": ""Araya J"", ""pmid"": ""37274341""}, {""autor"": ""Mennickent D"", ""pmid"": ""37274341""}]",2,1,2
aff_23313e0c19d215c7,aff_cad92dcdbe845473,"[""Mennickent D""]","[""37274341""]","[{""autor"": ""Mennickent D"", ""pmid"": ""37274341""}]",1,1,1
aff_234d495e582015a6,aff_b02fd2ea60e937e0,"[""Capurro C"", ""Ford P"", ""Netti V"", ""Pizzoni A""]","[""29790838""]","[{""autor"": ""Capurro C"", ""pmid"": ""29790838""}, {""autor"": ""Ford P"", ""pmid"": ""29790838""}, {""autor"": ""Netti V"", ""pmid"": ""29790838""}, {""autor"": ""Pizzoni A"", ""pmid"": ""29790838""}]",4,1,4
aff_234f94ad003faf17,aff_d690604ea09bb1eb,"[""Beltramone N"", ""Capurro C"", ""Casal J"", ""Celi A"", ""Di Giusto G"", ""Ford P"", ""Rivarola V"", ""Sterba J""]","[""41457365""]","[{""autor"": ""Beltramone N"", ""pmid"": ""41457365""}, {""autor"": ""Capurro C"", ""pmid"": ""41457365""}, {""autor"": ""Casal J"", ""pmid"": ""41457365""}, {""autor"": ""Celi A"", ""pmid"": ""41457365""}, {""autor"": ""Di Giusto G"", ""pmid"": ""41457365""}, {""autor"": ""Ford P"", ""pmid"": ""41457365""}, {""autor"": ""Rivarola V"", ""pmid"": ""41457365""}, {""autor"": ""Sterba J"", ""pmid"": ""41457365""}]",8,1,8
aff_26f32e8cd0c26593,aff_c0d1973a50415e48,"[""Zotta E""]","[""41800087""]","[{""autor"": ""Zotta E"", ""pmid"": ""41800087""}]",1,1,1
aff_27640c7d308e68c5,aff_4b4f9972886acc7a,"[""Azurmendi P"", ""Oddo E"", ""Vlachovsky S""]","[""37676461""]","[{""autor"": ""Azurmendi P"", ""pmid"": ""37676461""}, {""autor"": ""Oddo E"", ""pmid"": ""37676461""}, {""autor"": ""Vlachovsky S"", ""pmid"": ""37676461""}]",3,1,3
aff_28c50e49d737513d,aff_3f88cb2aa79b5c16,"[""Casal J""]","[""33703954""]","[{""autor"": ""Casal J"", ""pmid"": ""33703954""}]",1,1,1
aff_28d0bbbda0195d6a,aff_bcc2ea3d8a44eeb1,"[""Ibarra F""]","[""37676461""]","[{""autor"": ""Ibarra F"", ""pmid"": ""37676461""}]",1,1,1
aff_28f56a705bedde3e,aff_7445d50103944537,"[""Marini M"", ""Martinez M""]","[""41743514""]","[{""autor"": ""Marini M"", ""pmid"": ""41743514""}, {""autor"": ""Martinez M"", ""pmid"": ""41743514""}]",2,1,2
aff_28f56a705bedde3e,aff_df41ac45a06a6f81,"[""Belluscio M"", ""Murer M""]","[""41743514""]","[{""autor"": ""Belluscio M"", ""pmid"": ""41743514""}, {""autor"": ""Murer M"", ""pmid"": ""41743514""}]",2,1,2
aff_28f9dde996930b0b,aff_30c8abd41e24c198,"[""Bejarano C"", ""Bernabeu R""]","[""28710541""]","[{""autor"": ""Bejarano C"", ""pmid"": ""28710541""}, {""autor"": ""Bernabeu R"", ""pmid"": ""28710541""}]",2,1,2
aff_2aa41b5d0d38493e,aff_cfa398c2f7c45cc2,"[""Kasanetz F""]","[""34930957""]","[{""autor"": ""Kasanetz F"", ""pmid"": ""34930957""}]",1,1,1
aff_2b6e40460f25a0af,aff_40d9ca977897692c,"[""Della-Maggiore V""]","[""40744730""]","[{""autor"": ""Della-Maggiore V"", ""pmid"": ""40744730""}]",1,1,1
aff_2b6e40460f25a0af,aff_6caf3626b4429618,"[""Della-Maggiore V""]","[""40744730""]","[{""autor"": ""Della-Maggiore V"", ""pmid"": ""40744730""}]",1,1,1
aff_2b96a3a001f83643,aff_5280a87c1d18614b,"[""Faillace M""]","[""28710541""]","[{""autor"": ""Faillace M"", ""pmid"": ""28710541""}]",1,1,1
aff_2d69482a1f682698,aff_ec9263af2a63066f,"[""Jancic C""]","[""31703347""]","[{""autor"": ""Jancic C"", ""pmid"": ""31703347""}]",1,1,1
aff_2d8900d2768afa78,aff_be316785d21178b9,"[""Blizzard C""]","[""41423699""]","[{""autor"": ""Blizzard C"", ""pmid"": ""41423699""}]",1,1,1
aff_2db4123a90143a16,aff_9ac9bfd6578dd8ef,"[""Rivarola V""]","[""41824201""]","[{""autor"": ""Rivarola V"", ""pmid"": ""41824201""}]",1,1,1
aff_2defcc597060fc62,aff_d265d836c74a6a6b,"[""Belforte J""]","[""39833563""]","[{""autor"": ""Belforte J"", ""pmid"": ""39833563""}]",1,1,1
aff_2e5420e0a1047618,aff_7c732adf1e570f60,"[""Murer M"", ""Rela L""]","[""40553107""]","[{""autor"": ""Murer M"", ""pmid"": ""40553107""}, {""autor"": ""Rela L"", ""pmid"": ""40553107""}]",2,1,2
aff_2e5420e0a1047618,aff_d4d1b4ef7738e07d,"[""Paz R""]","[""40553107""]","[{""autor"": ""Paz R"", ""pmid"": ""40553107""}]",1,1,1
aff_2fe1c297ffd88b23,aff_6c3e9f942b0e008a,"[""Escudero C""]","[""36117714""]","[{""autor"": ""Escudero C"", ""pmid"": ""36117714""}]",1,1,1
aff_2fe1c297ffd88b23,aff_93130deb441cb8f0,"[""Escudero C""]","[""36117714""]","[{""autor"": ""Escudero C"", ""pmid"": ""36117714""}]",1,1,1
aff_2fe6d617a93437db,aff_4d53c44c100a038c,"[""Wappner P""]","[""40595449""]","[{""autor"": ""Wappner P"", ""pmid"": ""40595449""}]",1,1,1
aff_2fe6d617a93437db,aff_f5e4111a6396909f,"[""Wappner P""]","[""40595449""]","[{""autor"": ""Wappner P"", ""pmid"": ""40595449""}]",1,1,1
aff_303affa4f4fb01f0,aff_e47e41ed1dc94575,"[""Damiano A""]","[""39055061""]","[{""autor"": ""Damiano A"", ""pmid"": ""39055061""}]",1,1,1
aff_305c528cd4ad1af7,aff_a9fbe87ab8c5c59d,"[""Solomons D""]","[""39853576""]","[{""autor"": ""Solomons D"", ""pmid"": ""39853576""}]",1,1,1
