Author1,Author2,Weight
Celi A,Di Giusto G,2
Casal J,Rivarola V,2
Canzonieri R,Ortiz A,2
Paton J,Zotta E,2
Canzonieri R,Sanchez-Nino M,2
Amaral M,Moro A,2
Cerny N,Malchiodi E,2
Bekinschtein P,Belluscio M,2
Ortiz A,Schiel A,2
Ortiz A,Stern A,2
Ortiz A,Trimarchi H,2
Ortiz A,Zotta E,2
Paulero M,Sanchez-Nino M,2
Politei J,Sanchez-Nino M,2
Pomeranz V,Sanchez-Nino M,2
Rengel T,Sanchez-Nino M,2
Seyahian A,Szpilbarg N,2
Sanchez-Nino M,Schiel A,2
Sanchez-Nino M,Stern A,2
Sanchez-Nino M,Trimarchi H,2
Sanchez-Nino M,Zotta E,2
Paton A,Zotta E,2
Weisstaub N,Zold C,2
Costales-Collaguazo C,Sanchez-Nino M,2
Casal J,Ford P,2
Deleglise A,Donnelly-Kehoe P,2
Jancic C,Sacerdoti F,2
Beltramone N,Celi A,2
Sosa-Macias M,Teran E,2
Giachini F,Teran E,2
Alvarez R,Belforte J,2
Lima V,Teran E,2
Amaro E,Lerner G,2
Armony J,Lerner G,2
Doyon J,Lerner G,2
Melani M,Wappner P,2
Jovicich J,Lerner G,2
Barragan-Zuniga L,Blanco-Castaneda R,2
Blanco-Castaneda R,Giachini F,2
Katz M,Wappner P,2
Deleglise A,Griffa G,2
Barragan-Zuniga L,Escudero C,2
Katz M,Melani M,2
Deleglise A,Solano A,2
Barragan-Zuniga L,Giachini F,2
Blanco-Castaneda R,Damiano A,2
Blanco-Castaneda R,Escudero C,2
Giachini F,RIVA-TREM,2
Galaviz-Hernandez C,Teran E,2
Galaviz-Hernandez C,RIVA-TREM,2
Escudero C,Teran E,2
Della-Maggiore V,Palombo M,2
Della-Maggiore V,Lee H,2
Della-Maggiore V,Huang S,2
Gornalusse G,Martinez N,2
Farina M,Gornalusse G,2
Etcheverry T,Gornalusse G,2
Damiano A,Gornalusse G,2
Rayes D,Vassallu F,2
Lacour A,Vassallu F,2
Lacour A,Rayes D,2
Igaz L,Rayes D,2
Igaz L,Lacour A,2
Damiano A,RIVA-TREM,2
Alvarez A,Damiano A,2
Damiano A,Teran E,2
Escudero C,RIVA-TREM,2
Alvarez A,Ayala-Ramirez P,2
Blanco-Castaneda R,Galaviz-Hernandez C,2
Blanco-Castaneda R,Sosa-Macias M,2
Cadavid A,Lima V,2
Carbone S,Cutrera R,2
Cocca M,Ford P,2
Fiorentino G,Palermo M,2
Cocca M,Netti V,2
Fiorentino G,Ibarra C,2
Cutrera N,Di Giusto G,2
Castro Parodi M,Sierra M,2
Castro Parodi M,Fernandez N,2
Cutrera N,Ford P,2
Belforte J,Pafundo D,2
Roguin L,Zotta E,2
Cutrera N,Netti V,2
Cataldi A,Sacerdoti F,2
Cataldi A,Fiorentino G,2
Amaral M,Cataldi A,2
Corominas A,Martinez N,2
Balconi S,Martinez N,2
Balconi S,Damiano A,2
Balconi S,Corominas A,2
Fiorentino G,Vilte D,2
Cocca M,Di Giusto G,2
Cocca M,Cutrera N,2
Capurro C,Cutrera N,2
