GeneID,Symbol_x,TaxID_x,PathwaySource,PathwayID,PathwayName,GeneConcept,Symbol_y,TaxID_y,Organism
5291,PIK3CB,9606,kegg,hsa05230,Central carbon metabolism in cancer - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa05231,Choline metabolism in cancer - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa05235,PD-L1 expression and PD-1 checkpoint pathway in cancer - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa05415,Diabetic cardiomyopathy - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa05417,Lipid and atherosclerosis - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa05418,Fluid shear stress and atherosclerosis - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,netpath,Pathway_Alpha6Beta4Integrin,Alpha6Beta4Integrin,PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,netpath,Pathway_EGFR1,EGFR1,PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,netpath,Pathway_IL2,IL2,PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,pid,cd40_pathway,CD40/CD40L signaling,PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,pid,cxcr3pathway,CXCR3-mediated signaling events,PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,pid,cxcr4_pathway,CXCR4-mediated signaling events,PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,pid,erbb1_downstream_pathway,ErbB1 downstream signaling,PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,pid,erbb1_internalization_pathway,Internalization of ErbB1,PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,pid,erbb2erbb3pathway,ErbB2/ErbB3 signaling events,PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,pid,erbb4_pathway,ErbB4 signaling events,PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,pid,faspathway,FAS (CD95) signaling pathway,PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,pid,lysophospholipid_pathway,LPA receptor mediated events,PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,pid,nephrin_neph1_pathway,Nephrin/Neph1 signaling in the kidney podocyte,PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,pid,pdgfrbpathway,PDGFR-beta signaling pathway,PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,pid,pi3kcipathway,Class I PI3K signaling events,PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,pid,tcptp_pathway,Signaling events mediated by TCPTP,PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,pid,trail_pathway,TRAIL signaling pathway,PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,wikipathways,WP1403,AMP-activated protein kinase (AMPK) signaling,PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,wikipathways,WP1449,Regulation of toll-like receptor signaling pathway,PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,wikipathways,WP1544,MicroRNAs in cardiomyocyte hypertrophy,PIK3CB,PIK3CB,,Homo sapiens
