GeneID,Symbol,Description,TaxID,Organism,Papers,Mentions,Text_mentions
15978,Ifng,interferon gamma,,Mus musculus,1,1,['interferon-gamma']
16183,Il2,interleukin 2,,Mus musculus,1,1,['IL-2']
16783,Lamp1,lysosomal-associated membrane protein 1,,Mus musculus,1,1,['CD107a']
171144,Slco4a1,"solute carrier organic anion transporter family, member 4a1",,Rattus norvegicus,1,1,['Slco4A1']
17395,Mmp9,matrix metallopeptidase 9,,Mus musculus,1,1,['matrix metalloproteinase 9']
1791,DNTT,DNA nucleotidylexotransferase,,Homo sapiens,1,1,['Terminal Deoxynucleotidyltransferase']
1812,DRD1,dopamine receptor D1,,Homo sapiens,1,1,['dopamine D1/D5 receptors']
18538,Pcna,proliferating cell nuclear antigen,,Mus musculus,1,1,['proliferating cell nuclear antigen']
192302,hdac1,histone deacetylase 1,,Danio rerio,1,1,['HDAC-1']
2069,EREG,epiregulin,,Homo sapiens,1,1,['ER']
2100,ESR2,estrogen receptor 2,,Homo sapiens,1,1,['ERbeta']
212541,Rho,rhodopsin,,Mus musculus,1,1,['rhodopsin']
2166,FAAH,fatty acid amide hydrolase,,Homo sapiens,1,1,['FAAH']
22035,Tnfsf10,"tumor necrosis factor (ligand) superfamily, member 10",,Mus musculus,1,1,['TRAIL']
2302,FOXJ1,forkhead box J1,,Homo sapiens,1,1,['FoxJ1']
23621,BACE1,beta-secretase 1,,Homo sapiens,1,1,['ASP2']
23673,STX12,syntaxin 12,,Homo sapiens,1,1,['Stx1/2']
24523,Klk1,kallikrein 1,,Rattus norvegicus,1,1,['Klk1']
24954,Insr,insulin receptor,,Rattus norvegicus,1,1,['insulin receptor']
2717,GLA,galactosidase alpha,,Homo sapiens,1,1,['alpha-galactosidase A']
27303,RBMS3,RNA binding motif single stranded interacting protein 3,,Homo sapiens,1,1,['RNA binding protein']
2921,CXCL3,C-X-C motif chemokine ligand 3,,Homo sapiens,1,1,['CXCL3']
29723,Slc19a1,solute carrier family 19 member 1,,Rattus norvegicus,1,1,['Slc19A1']
30466,ascl1a,achaete-scute family bHLH transcription factor 1a,,Danio rerio,1,1,['ascl1a']
30646,gfap,glial fibrillary acidic protein,,Danio rerio,1,1,['glial fibrillary acidic protein']
30725,chrna1,"cholinergic receptor, nicotinic, alpha 1 (muscle)",,Danio rerio,1,1,['Nicotinic receptor']
32260,Fer3HCH,Ferritin 3 heavy chain homologue,,Drosophila melanogaster,1,1,['Fer3HCH']
3439,IFNA1,interferon alpha 1,,Homo sapiens,1,1,['IFN']
3458,IFNG,interferon gamma,,Homo sapiens,1,1,['IFN-gamma']
3569,IL6,interleukin 6,,Homo sapiens,1,1,['IL-6']
