PMID,Section,EntityType,Mention,NormalizedName,NormalizedID,Database,Valid,GeneID,Symbol,Description,TaxID,Organism,CommonName,GeneConcept
41183746,abstract,Gene,aromatic L-amino acid decarboxylase,DDC,1644,ncbi_gene,True,1644,DDC,dopa decarboxylase,,Homo sapiens,human,DDC
41183746,abstract,Gene,AADC,DDC,1644,ncbi_gene,True,1644,DDC,dopa decarboxylase,,Homo sapiens,human,DDC
41183746,abstract,Gene,dopamine transporter,SLC6A3,6531,ncbi_gene,True,6531,SLC6A3,solute carrier family 6 member 3,,Homo sapiens,human,SLC6A3
41183746,abstract,Gene,DAT,SLC6A3,6531,ncbi_gene,True,6531,SLC6A3,solute carrier family 6 member 3,,Homo sapiens,human,SLC6A3
41183746,abstract,Gene,TH+,TH,7054,ncbi_gene,True,7054,TH,tyrosine hydroxylase,,Homo sapiens,human,TH
41183746,abstract,Gene,DAT,SLC6A3,6531,ncbi_gene,True,6531,SLC6A3,solute carrier family 6 member 3,,Homo sapiens,human,SLC6A3
41183746,abstract,Gene,calbindin,CALB1,793,ncbi_gene,True,793,CALB1,calbindin 1,,Homo sapiens,human,CALB1
41183746,abstract,Gene,vasoactive intestinal peptide,VIP,7432,ncbi_gene,True,7432,VIP,vasoactive intestinal peptide,,Homo sapiens,human,VIP
41183746,abstract,Gene,VIP,VIP,7432,ncbi_gene,True,7432,VIP,vasoactive intestinal peptide,,Homo sapiens,human,VIP
41183746,abstract,Gene,TH+,TH,7054,ncbi_gene,True,7054,TH,tyrosine hydroxylase,,Homo sapiens,human,TH
41208638,abstract,Gene,Malvolio,Mvl,42490,ncbi_gene,True,42490,Mvl,Malvolio,,Drosophila melanogaster,fruit fly,MVL
41208638,abstract,Gene,Mvl,Mvl,42490,ncbi_gene,True,42490,Mvl,Malvolio,,Drosophila melanogaster,fruit fly,MVL
41208638,abstract,Gene,Mvl,Mvl,42490,ncbi_gene,True,42490,Mvl,Malvolio,,Drosophila melanogaster,fruit fly,MVL
41208638,abstract,Gene,Mvl,Mvl,42490,ncbi_gene,True,42490,Mvl,Malvolio,,Drosophila melanogaster,fruit fly,MVL
41208638,abstract,Gene,Mvl,Mvl,42490,ncbi_gene,True,42490,Mvl,Malvolio,,Drosophila melanogaster,fruit fly,MVL
41208638,abstract,Gene,Mvl,Mvl,42490,ncbi_gene,True,42490,Mvl,Malvolio,,Drosophila melanogaster,fruit fly,MVL
41208638,abstract,Gene,ferritin,Fer1HCH,46415,ncbi_gene,True,46415,Fer1HCH,Ferritin 1 heavy chain homologue,,Drosophila melanogaster,fruit fly,FER1HCH
41208638,abstract,Gene,Fer3HCH,Fer3HCH,32260,ncbi_gene,True,32260,Fer3HCH,Ferritin 3 heavy chain homologue,,Drosophila melanogaster,fruit fly,FER3HCH
41242030,title,Gene,Thrombomodulin,THBD,7056,ncbi_gene,True,7056,THBD,thrombomodulin,,Homo sapiens,human,THBD
41242030,abstract,Gene,thrombomodulin,THBD,7056,ncbi_gene,True,7056,THBD,thrombomodulin,,Homo sapiens,human,THBD
41242030,abstract,Gene,THBD,THBD,7056,ncbi_gene,True,7056,THBD,thrombomodulin,,Homo sapiens,human,THBD
41242030,abstract,Gene,THBD,THBD,7056,ncbi_gene,True,7056,THBD,thrombomodulin,,Homo sapiens,human,THBD
41242030,abstract,Gene,HIF-1alpha,HIF1A,3091,ncbi_gene,True,3091,HIF1A,hypoxia inducible factor 1 subunit alpha,,Homo sapiens,human,HIF1A
41242030,abstract,Gene,HIF-1alpha,HIF1A,3091,ncbi_gene,True,3091,HIF1A,hypoxia inducible factor 1 subunit alpha,,Homo sapiens,human,HIF1A
41242030,abstract,Gene,THBD,THBD,7056,ncbi_gene,True,7056,THBD,thrombomodulin,,Homo sapiens,human,THBD
41242030,abstract,Gene,KLF4,KLF4,9314,ncbi_gene,True,9314,KLF4,KLF transcription factor 4,,Homo sapiens,human,KLF4
41242030,abstract,Gene,THBD,THBD,7056,ncbi_gene,True,7056,THBD,thrombomodulin,,Homo sapiens,human,THBD
41242030,abstract,Gene,THBD,THBD,7056,ncbi_gene,True,7056,THBD,thrombomodulin,,Homo sapiens,human,THBD
41242030,abstract,Gene,KLF4,KLF4,9314,ncbi_gene,True,9314,KLF4,KLF transcription factor 4,,Homo sapiens,human,KLF4
41242030,abstract,Gene,HIF-1alpha,HIF1A,3091,ncbi_gene,True,3091,HIF1A,hypoxia inducible factor 1 subunit alpha,,Homo sapiens,human,HIF1A
41242030,abstract,Gene,THBD,THBD,7056,ncbi_gene,True,7056,THBD,thrombomodulin,,Homo sapiens,human,THBD
41242030,abstract,Gene,THBD,THBD,7056,ncbi_gene,True,7056,THBD,thrombomodulin,,Homo sapiens,human,THBD
41242030,abstract,Gene,KLF4,KLF4,9314,ncbi_gene,True,9314,KLF4,KLF transcription factor 4,,Homo sapiens,human,KLF4
41242030,abstract,Gene,THBD,THBD,7056,ncbi_gene,True,7056,THBD,thrombomodulin,,Homo sapiens,human,THBD
41242030,abstract,Gene,HIF-1alpha,HIF1A,3091,ncbi_gene,True,3091,HIF1A,hypoxia inducible factor 1 subunit alpha,,Homo sapiens,human,HIF1A
41242030,abstract,Gene,KLF4,KLF4,9314,ncbi_gene,True,9314,KLF4,KLF transcription factor 4,,Homo sapiens,human,KLF4
41457365,title,Gene,TRPV4,TRPV4,59341,ncbi_gene,True,59341,TRPV4,transient receptor potential cation channel subfamily V member 4,,Homo sapiens,human,TRPV4
41457365,abstract,Gene,TRPV4,TRPV4,59341,ncbi_gene,True,59341,TRPV4,transient receptor potential cation channel subfamily V member 4,,Homo sapiens,human,TRPV4
41457365,abstract,Gene,Transient Receptor Potential Vanilloid 4,TRPV4,59341,ncbi_gene,True,59341,TRPV4,transient receptor potential cation channel subfamily V member 4,,Homo sapiens,human,TRPV4
41457365,abstract,Gene,TRPV4,TRPV4,59341,ncbi_gene,True,59341,TRPV4,transient receptor potential cation channel subfamily V member 4,,Homo sapiens,human,TRPV4
41457365,abstract,Gene,TRPV4,TRPV4,59341,ncbi_gene,True,59341,TRPV4,transient receptor potential cation channel subfamily V member 4,,Homo sapiens,human,TRPV4
41457365,abstract,Gene,TRPV4,TRPV4,59341,ncbi_gene,True,59341,TRPV4,transient receptor potential cation channel subfamily V member 4,,Homo sapiens,human,TRPV4
41457365,abstract,Gene,TRPV4,TRPV4,59341,ncbi_gene,True,59341,TRPV4,transient receptor potential cation channel subfamily V member 4,,Homo sapiens,human,TRPV4
41457365,abstract,Gene,TRPV4,TRPV4,59341,ncbi_gene,True,59341,TRPV4,transient receptor potential cation channel subfamily V member 4,,Homo sapiens,human,TRPV4
41457365,abstract,Gene,TRPV4,TRPV4,59341,ncbi_gene,True,59341,TRPV4,transient receptor potential cation channel subfamily V member 4,,Homo sapiens,human,TRPV4
41457365,abstract,Gene,TRPV4,TRPV4,59341,ncbi_gene,True,59341,TRPV4,transient receptor potential cation channel subfamily V member 4,,Homo sapiens,human,TRPV4
41457365,abstract,Gene,aquaporin-1,AQP1,358,ncbi_gene,True,358,AQP1,aquaporin 1 (Colton blood group),,Homo sapiens,human,AQP1
41457365,abstract,Gene,AQP1,AQP1,358,ncbi_gene,True,358,AQP1,aquaporin 1 (Colton blood group),,Homo sapiens,human,AQP1
41457365,abstract,Gene,TRPV4,TRPV4,59341,ncbi_gene,True,59341,TRPV4,transient receptor potential cation channel subfamily V member 4,,Homo sapiens,human,TRPV4
41457365,abstract,Gene,TRPV4,TRPV4,59341,ncbi_gene,True,59341,TRPV4,transient receptor potential cation channel subfamily V member 4,,Homo sapiens,human,TRPV4
41605341,abstract,Gene,c-Fos,Fos,14281,ncbi_gene,True,14281,Fos,"Fos proto-oncogene, AP-1 transcription factor subunit",,Mus musculus,house mouse,FOS
41605341,abstract,Gene,c-Fos,Fos,14281,ncbi_gene,True,14281,Fos,"Fos proto-oncogene, AP-1 transcription factor subunit",,Mus musculus,house mouse,FOS
41800087,abstract,Gene,glucosylceramide synthase,Ugcg,83626,ncbi_gene,True,83626,Ugcg,UDP-glucose ceramide glucosyltransferase,,Rattus norvegicus,Norway rat,UGCG
41800087,abstract,Gene,aquaporin 1,Aqp1,25240,ncbi_gene,True,25240,Aqp1,aquaporin 1,,Rattus norvegicus,Norway rat,AQP1
41800087,abstract,Gene,AQP1,Aqp1,25240,ncbi_gene,True,25240,Aqp1,aquaporin 1,,Rattus norvegicus,Norway rat,AQP1
41800087,abstract,Gene,neutrophil gelatinase-associated lipocalin,Lcn2,170496,ncbi_gene,True,170496,Lcn2,lipocalin 2,,Rattus norvegicus,Norway rat,LCN2
41800087,abstract,Gene,NGAL,Lcn2,170496,ncbi_gene,True,170496,Lcn2,lipocalin 2,,Rattus norvegicus,Norway rat,LCN2
41800087,abstract,Gene,AQP1,Aqp1,25240,ncbi_gene,True,25240,Aqp1,aquaporin 1,,Rattus norvegicus,Norway rat,AQP1
41800087,abstract,Gene,NGAL,Lcn2,170496,ncbi_gene,True,170496,Lcn2,lipocalin 2,,Rattus norvegicus,Norway rat,LCN2
41817828,title,Gene,Somatostatin,Sst,20604,ncbi_gene,True,20604,Sst,somatostatin,,Mus musculus,house mouse,SST
41817828,abstract,Gene,Somatostatin,Sst,20604,ncbi_gene,True,20604,Sst,somatostatin,,Mus musculus,house mouse,SST
41817828,abstract,Gene,SOM,Sst,20604,ncbi_gene,True,20604,Sst,somatostatin,,Mus musculus,house mouse,SST
41817828,abstract,Gene,SOM,Sst,20604,ncbi_gene,True,20604,Sst,somatostatin,,Mus musculus,house mouse,SST
41817828,abstract,Gene,SOM,Sst,20604,ncbi_gene,True,20604,Sst,somatostatin,,Mus musculus,house mouse,SST
41817828,abstract,Gene,c-Fos,Fos,14281,ncbi_gene,True,14281,Fos,"Fos proto-oncogene, AP-1 transcription factor subunit",,Mus musculus,house mouse,FOS
41817828,abstract,Gene,SOM,Sst,20604,ncbi_gene,True,20604,Sst,somatostatin,,Mus musculus,house mouse,SST
41817828,abstract,Gene,Drd1,Drd1,13488,ncbi_gene,True,13488,Drd1,dopamine receptor D1,,Mus musculus,house mouse,DRD1
41817828,abstract,Gene,Drd5,Drd5,13492,ncbi_gene,True,13492,Drd5,dopamine receptor D5,,Mus musculus,house mouse,DRD5
41817828,abstract,Gene,SOM,Sst,20604,ncbi_gene,True,20604,Sst,somatostatin,,Mus musculus,house mouse,SST
