GeneID,Symbol,TaxID,PathwaySource,PathwayID,PathwayName
4313,MMP2,9606,pid,avb3_opn_pathway,Osteopontin-mediated events
4313,MMP2,9606,pid,betacatenin_nuc_pathway,Regulation of nuclear beta catenin signaling and target gene transcription
4313,MMP2,9606,pid,er_nongenomic_pathway,Plasma membrane estrogen receptor signaling
4313,MMP2,9606,pid,foxm1pathway,FOXM1 transcription factor network
4313,MMP2,9606,pid,fra_pathway,Validated transcriptional targets of AP1 family members Fra1 and Fra2
4313,MMP2,9606,pid,lysophospholipid_pathway,LPA receptor mediated events
4313,MMP2,9606,pid,p53downstreampathway,Direct p53 effectors
4313,MMP2,9606,pid,syndecan_2_pathway,Syndecan-2-mediated signaling events
4313,MMP2,9606,wikipathways,WP129,Matrix Metalloproteinases
4313,MMP2,9606,wikipathways,WP2324,AGE-RAGE pathway
4313,MMP2,9606,wikipathways,WP2828,Bladder cancer
4313,MMP2,9606,wikipathways,WP3303,RAC1-PAK1-p38-MMP2 Pathway
4313,MMP2,9606,wikipathways,WP3617,Photodynamic therapy-induced NF-kB survival signaling
4313,MMP2,9606,wikipathways,WP3624,Lung fibrosis
4313,MMP2,9606,wikipathways,WP3888,VEGFA-VEGFR2 Signaling Pathway
4313,MMP2,9606,wikipathways,WP4239,Epithelial to mesenchymal transition in colorectal cancer
4313,MMP2,9606,wikipathways,WP4561,Cell migration and invasion through p75NTR
4313,MMP2,9606,wikipathways,WP4564,Neural Crest Cell Migration during Development
4313,MMP2,9606,wikipathways,WP4565,Neural Crest Cell Migration in Cancer
4313,MMP2,9606,wikipathways,WP4673,Male infertility
4313,MMP2,9606,wikipathways,WP4754,IL-18 signaling pathway
59272,ACE2,9606,kegg,hsa04614,Renin-angiotensin system - Homo sapiens (human)
59272,ACE2,9606,kegg,hsa04974,Protein digestion and absorption - Homo sapiens (human)
59272,ACE2,9606,kegg,hsa05171,Coronavirus disease - COVID-19 - Homo sapiens (human)
59272,ACE2,9606,wikipathways,WP4883,SARS-CoV-2 and angiotensin-converting enzyme 2 receptor- molecular mechanisms
59272,ACE2,9606,wikipathways,WP4891,COVID-19 adverse outcome pathway
59272,ACE2,9606,wikipathways,WP4912,SARS coronavirus and innate immunity
59272,ACE2,9606,wikipathways,WP4969,RAS and bradykinin pathways in COVID-19
59272,ACE2,9606,wikipathways,WP5039,SARS-CoV-2 innate immunity evasion and cell-specific immune response
59272,ACE2,9606,wikipathways,WP5065,SARS-CoV-2 altering angiogenesis via NRP1
59272,ACE2,9606,wikipathways,WP5076,Soluble ACE2-mediated cell entry of SARS-CoV-2
59272,ACE2,9606,wikipathways,WP554,ACE Inhibitor Pathway
23621,BACE1,9606,biocarta,apppathway,generation of amyloid b-peptide by ps1
23621,BACE1,9606,kegg,hsa05010,Alzheimer disease - Homo sapiens (human)
23621,BACE1,9606,wikipathways,WP2059,"Alzheimer,s disease"
23621,BACE1,9606,wikipathways,WP3286,Copper homeostasis
