GeneConcept,Papers,Mentions,N_GeneIDs,GeneIDs,Symbols,N_species,TaxIDs,Organisms,Text_mentions
PODXL,1,7,1,['5420'],['PODXL'],1,[''],['Homo sapiens'],['podocalyxin']
TG,1,7,1,['7038'],['TG'],1,[''],['Homo sapiens'],"['TG', 'thyroglobulin']"
GH,1,6,1,['14599'],['Gh'],1,[''],['Mus musculus'],"['GH', 'growth hormone']"
GJA1,1,6,1,['14609'],['Gja1'],1,[''],['Mus musculus'],"['Cx43', 'connexin 43']"
MVL,1,6,1,['42490'],['Mvl'],1,[''],['Drosophila melanogaster'],"['Malvolio', 'Mvl']"
SIRT6,1,6,1,['50721'],['Sirt6'],1,[''],['Mus musculus'],['SIRT6']
SLC6A11,1,6,1,['79213'],['Slc6a11'],1,[''],['Rattus norvegicus'],['GAT-3']
CD80,1,5,1,['941'],['CD80'],1,[''],['Homo sapiens'],"['B7-1', 'CD80']"
EHMT2,1,5,1,['569250'],['ehmt2'],1,[''],['Danio rerio'],['G9a']
GPER1,1,5,1,['2852'],['GPER1'],1,[''],['Homo sapiens'],"['G protein-coupled estrogen receptor 1', 'G protein-coupled estrogen receptor-1', 'GPER-1']"
HTR1A,1,5,1,['15550'],['Htr1a'],1,[''],['Mus musculus'],['5-HT1A']
SLC12A2,1,5,1,['83629'],['Slc12a2'],1,[''],['Rattus norvegicus'],"['NKCC1', 'Na+ -K+ -2Cl- cotransporter 1']"
BDNF,1,4,1,['24225'],['Bdnf'],1,[''],['Rattus norvegicus'],"['BDNF', 'brain-derived neurotrophic factor']"
CACNA1C,1,4,1,['775'],['CACNA1C'],1,[''],['Homo sapiens'],['Cav1.2']
ESR1,1,4,1,['2099'],['ESR1'],1,[''],['Homo sapiens'],"['ERalpha', 'estrogen receptor alpha', 'estrogen receptor-alpha']"
ITGAX,1,4,1,['3687'],['ITGAX'],1,[''],['Homo sapiens'],"['CD11c', 'Cd11c', 'Itgax']"
KLF4,1,4,1,['9314'],['KLF4'],1,[''],['Homo sapiens'],['KLF4']
PCSK9,1,4,1,['100102'],['Pcsk9'],1,[''],['Mus musculus'],['Pc9']
PPP1R2,1,4,1,['66849'],['Ppp1r2'],1,[''],['Mus musculus'],['Ppp1r2']
SGK1,1,4,1,['29517'],['Sgk1'],1,[''],['Rattus norvegicus'],"['SGK1', 'serum/glucocorticoid-regulated kinase 1']"
SOX9,1,4,1,['20682'],['Sox9'],1,[''],['Mus musculus'],['SOX9']
COX1,1,3,1,['17708'],['COX1'],1,[''],['Mus musculus'],['COX1']
COX2,1,3,1,['17709'],['COX2'],1,[''],['Mus musculus'],['COX2']
CSF1R,1,3,1,['12978'],['Csf1r'],1,[''],['Mus musculus'],"['CSF-1R', 'Colony-stimulating factor-1 receptor', 'colony-stimulating factor-1 receptor']"
CTNNB1,1,3,1,['1499'],['CTNNB1'],1,[''],['Homo sapiens'],['beta-catenin']
FLT1,1,3,1,['2321'],['FLT1'],1,[''],['Homo sapiens'],['FLT-1']
FOLR1,1,3,1,['171049'],['Folr1'],1,[''],['Rattus norvegicus'],"['Folr1', 'folate receptor-alpha']"
HP,1,3,1,['566096'],['hp'],1,[''],['Danio rerio'],['hpl']
IL10,1,3,1,['3586'],['IL10'],1,[''],['Homo sapiens'],['IL-10']
LCN2,1,3,1,['170496'],['Lcn2'],1,[''],['Rattus norvegicus'],"['NGAL', 'neutrophil gelatinase-associated lipocalin']"
NFAT5,1,3,1,['10725'],['NFAT5'],1,[''],['Homo sapiens'],['TonEBP']
NOS3,1,3,1,['4846'],['NOS3'],1,[''],['Homo sapiens'],['eNOS']
PLA2G4A,1,3,1,['18783'],['Pla2g4a'],1,[''],['Mus musculus'],['cPLA2alpha']
ABCB1A,1,2,1,['170913'],['Abcb1a'],1,[''],['Rattus norvegicus'],['Abcb1a']
ABCB1B,1,2,1,['24646'],['Abcb1b'],1,[''],['Rattus norvegicus'],['Abcb1b']
ACE2,1,2,1,['59272'],['ACE2'],1,[''],['Homo sapiens'],"['ACE2', 'angiotensin-converting enzyme 2']"
ACHE,1,2,1,['11423'],['Ache'],1,[''],['Mus musculus'],"['Acetylcholinesterase', 'acetylcholinesterase']"
AVP,1,2,1,['11998'],['Avp'],1,[''],['Mus musculus'],['AVP']
CCL2,1,2,1,['6347'],['CCL2'],1,[''],['Homo sapiens'],"['CCL2', 'monocyte chemoattractant protein-1']"
CCL3,1,2,1,['6348'],['CCL3'],1,[''],['Homo sapiens'],"['CCL3', 'macrophage inflammatory protein-1 alpha']"
CCL5,1,2,1,['6352'],['CCL5'],1,[''],['Homo sapiens'],"['CCL5', 'chemokine (C-C motif) ligand 5']"
CD40LG,1,2,1,['959'],['CD40LG'],1,[''],['Homo sapiens'],"['CD40 Ligand', 'CD40 ligand']"
CXCL8,1,2,1,['3576'],['CXCL8'],1,[''],['Homo sapiens'],['IL-8']
DDC,1,2,1,['1644'],['DDC'],1,[''],['Homo sapiens'],"['AADC', 'aromatic L-amino acid decarboxylase']"
DNMT3BB.2,1,2,1,['30659'],['dnmt3bb.2'],1,[''],['Danio rerio'],"['DNA methyltransferase', 'DNMTs']"
EGR1,1,2,1,['1958'],['EGR1'],1,[''],['Homo sapiens'],['Egr1']
GJD2,1,2,1,['14617'],['Gjd2'],1,[''],['Mus musculus'],"['Connexins', 'connexins']"
HDAC2,1,2,1,['84577'],['Hdac2'],1,[''],['Rattus norvegicus'],"['HDAC2', 'histone deacetylase 2']"
IBA1,1,2,1,['114737'],['Iba1'],1,[''],['Mus musculus'],['Iba1']
IL1A,1,2,1,['3552'],['IL1A'],1,[''],['Homo sapiens'],"['IL-1', 'IL1A']"
KCNN3,1,2,1,['54263'],['Kcnn3'],1,[''],['Rattus norvegicus'],['SK3']
LRRC8A,1,2,1,['56262'],['LRRC8A'],1,[''],['Homo sapiens'],"['LRRC8', 'leucine-rich repeat containing 8']"
LTF,1,2,1,['280846'],['LTF'],1,[''],['Bos taurus'],['lactoferrin']
MBP,1,2,1,['17196'],['Mbp'],1,[''],['Mus musculus'],['MBP']
NF1,1,2,1,['43149'],['Nf1'],1,[''],['Drosophila melanogaster'],['NF1']
NOS1,1,2,1,['18125'],['Nos1'],1,[''],['Mus musculus'],"['nNOS', 'neuronal nitric oxide synthase']"
OXT,1,2,1,['18429'],['Oxt'],1,[''],['Mus musculus'],['Oxytocin']
P3H3,1,2,1,['10536'],['P3H3'],1,[''],['Homo sapiens'],['P3H3']
PGF,1,2,1,['5228'],['PGF'],1,[''],['Homo sapiens'],"['PGF', 'placental growth factor']"
PITX3,1,2,1,['402974'],['pitx3'],1,[''],['Danio rerio'],['Pitx3']
PROM1,1,2,1,['8842'],['PROM1'],1,[''],['Homo sapiens'],['CD133']
SCIN,1,2,1,['20259'],['Scin'],1,[''],['Mus musculus'],['SCIN']
SCNN1G,1,2,1,['24768'],['Scnn1g'],1,[''],['Rattus norvegicus'],['ENaC']
SIMA,1,2,1,['43580'],['sima'],1,[''],['Drosophila melanogaster'],['Sima']
SLC18A2,1,2,1,['6571'],['SLC18A2'],1,[''],['Homo sapiens'],"['VMAT2', 'vesicular monoamine transporter 2']"
SLC32A1,1,2,1,['22348'],['Slc32a1'],1,[''],['Mus musculus'],"['VGAT', 'vesicular GABA transporter']"
ASCL1A,1,1,1,['30466'],['ascl1a'],1,[''],['Danio rerio'],['ascl1a']
BACE1,1,1,1,['23621'],['BACE1'],1,[''],['Homo sapiens'],['ASP2']
BCL2L1,1,1,1,['12048'],['Bcl2l1'],1,[''],['Mus musculus'],['Bcl-XL']
BID,1,1,1,['12122'],['Bid'],1,[''],['Mus musculus'],['Bid']
CACNA1D,1,1,1,['776'],['CACNA1D'],1,[''],['Homo sapiens'],['Cav1.3']
CALB1,1,1,1,['793'],['CALB1'],1,[''],['Homo sapiens'],['calbindin']
CAMK2D,1,1,1,['108058'],['Camk2d'],1,[''],['Mus musculus'],['CaMKII']
CAMK2G,1,1,1,['818'],['CAMK2G'],1,[''],['Homo sapiens'],['CaMKII']
CASP8,1,1,1,['12370'],['Casp8'],1,[''],['Mus musculus'],['caspase-8']
CASP9,1,1,1,['12371'],['Casp9'],1,[''],['Mus musculus'],['caspase-9']
CCDC170,1,1,1,['80129'],['CCDC170'],1,[''],['Homo sapiens'],['Ccdc170']
CD68,1,1,1,['968'],['CD68'],1,[''],['Homo sapiens'],['Cd68']
CD69,1,1,1,['969'],['CD69'],1,[''],['Homo sapiens'],['CD69']
CDHR4,1,1,1,['389118'],['CDHR4'],1,[''],['Homo sapiens'],['Cdhr4']
CFAP43,1,1,1,['80217'],['CFAP43'],1,[''],['Homo sapiens'],['Cfap43']
CFAP69,1,1,1,['79846'],['CFAP69'],1,[''],['Homo sapiens'],['Cfap69']
CHRNA1,1,1,1,['30725'],['chrna1'],1,[''],['Danio rerio'],['Nicotinic receptor']
CNR1,1,1,1,['1268'],['CNR1'],1,[''],['Homo sapiens'],['CB1']
COL11A2,1,1,1,['1302'],['COL11A2'],1,[''],['Homo sapiens'],['PARP']
COX4I1,1,1,1,['12857'],['Cox4i1'],1,[''],['Mus musculus'],['COX']
CREB1,1,1,1,['81646'],['Creb1'],1,[''],['Rattus norvegicus'],['CREB']
CRP,1,1,1,['1401'],['CRP'],1,[''],['Homo sapiens'],['C-reactive protein']
CSF3,1,1,1,['1440'],['CSF3'],1,[''],['Homo sapiens'],['CSF3']
CXCL10,1,1,1,['3627'],['CXCL10'],1,[''],['Homo sapiens'],['CXCL10']
CXCL3,1,1,1,['2921'],['CXCL3'],1,[''],['Homo sapiens'],['CXCL3']
